lane,band_number,position_y,intensity,area,molecular_weight_kDa,normalized_area
1,1,180,248.9997192204474,3963.7337218608377,27.5,1.0
2,1,47,223.8947313750392,3524.011532146632,10.0,0.19342714012068435
2,2,66,222.3060307346915,3478.308557360365,12.285714285714285,0.19091857974076684
2,3,84,222.88882926921988,3522.5954741644446,14.857142857142858,0.19334941504991174
2,4,151,240.80864597617804,3811.7308090362453,23.875,0.20921957336861094
2,5,178,244.4253272297805,3882.159581554509,27.25,0.2130852917200261
3,1,41,234.86261399495794,3703.522222565337,10.0,0.4880136622406892
3,2,178,245.40966566295035,3885.4501958723113,27.25,0.5119863377593108
4,1,41,236.92689454246457,3733.470476568437,10.0,0.32755937429078696
4,2,89,235.64931482280662,3752.006040961127,15.571428571428571,0.3291856086249544
4,3,177,246.91372218842167,3912.366956350359,27.125,0.34325501708425865
5,1,41,238.07004651644252,3739.818386013676,10.0,0.48744417504870274
5,2,177,247.53585738708426,3932.4825203209084,27.125,0.5125558249512973
6,1,177,245.62222812451978,3903.7573085355184,27.125,1.0
7,1,40,237.17417066337222,3742.6933711572065,10.0,0.48587289631064623
7,2,176,248.79912688179672,3960.3363709346213,27.0,0.5141271036893538
8,1,40,239.111372203701,3774.8823698788824,10.0,0.4874514262067441
8,2,176,249.35701822430997,3969.2376940509985,27.0,0.512548573793256
9,1,83,234.76352754940143,3721.2772600851126,14.714285714285715,0.48584061385804755
9,2,175,247.66359048498128,3938.1837934784166,26.875,0.5141593861419524
10,1,92,245.37927285336295,3909.883579110194,16.0,1.0
